sintomas,nombre,apellido,dni
15,Pierrette,Eldritt,82-2512962
1,Devland,Coleford,67-0961919
0,Eldin,Alliberton,24-8338493
9,Lynett,Vousden,87-1387538
2,Pepillo,Cuttings,49-3145900
8,Wenona,Fairbrace,39-0198101
1,Querida,Isacke,38-9981867
12,Sonnie,Hedan,75-1103319
15,Dane,Kittoe,31-1601573
13,Meagan,Gotliffe,06-4237051
9,Clerkclaude,Carnalan,24-5784527
9,Regan,Bolver,41-3263011
0,Maynard,Scaice,30-3757447
3,Farlee,Keen,73-5758139
11,Darcee,Liccardo,96-7063116
6,Riannon,Crowdson,95-1323509
1,Riobard,Kingshott,53-3508042
16,Toma,Olivelli,18-3823579
2,Cassey,Darbishire,36-2537549
16,Haleigh,Bosnell,87-4561167
15,Celinda,Dirr,73-0880647
3,Rita,Tangye,32-1883090
6,Winnah,Dakhov,12-9807283
14,Fawnia,Seed,03-6646254
15,Evan,Bilbrey,93-7238280
7,Angelle,Neath,02-2502170
13,Sonny,Samwaye,53-5271467
7,Hettie,Banthorpe,46-6430309
1,Zorina,Helstrip,00-1488470
13,Cull,Lowther,18-7231691
5,Renee,Heino,75-5533699
11,Zelig,Boothebie,16-8633225
5,Des,Rumble,12-9225802
1,Northrup,Botger,08-7985767
4,Libby,Clother,07-7672498
2,Fletch,De Castri,61-7142901
16,Derril,Elies,84-6089046
14,Skylar,Tutt,51-0278140
9,Liliane,Booth-Jarvis,81-1494679
16,Darrin,Blunt,65-7406632
2,Nissy,Gameson,29-9092057
3,Norris,Becks,09-2205274
15,Chloette,O'Carney,28-6741544
7,Merwin,Gounin,77-1921118
16,Leanor,Minmagh,48-1190119
4,Angelina,McAmish,37-4654582
8,Alexandro,Rhule,58-2888846
10,Brina,Bassett,95-7024219
7,Park,Sawl,05-5859420
8,Eachelle,Cherry,66-3633400
8,Ilaire,Blumer,72-1672992
0,Reynold,Butner,82-6273897
16,Rube,Hellikes,37-0040920
13,Lyndsay,Scouse,43-6603263
0,Gerald,Tripney,04-9872285
0,Pamela,Walas,23-1823750
0,Micheil,Bills,06-7348883
16,Jayne,Gertz,09-7418607
10,Willy,Rubery,02-2208346
12,Allie,Troake,01-4711067
15,Danny,Giampietro,97-9299352
7,Bard,Bumpas,28-8342573
7,Errick,Ivanenkov,71-4238971
3,Thaxter,Barbara,23-9884200
2,Delly,Borsay,98-7161762
16,Gorden,O'Sesnane,12-8304188
4,Sileas,Rubinovici,30-2826607
1,Pembroke,Litchfield,97-3837597
8,Brennen,Sime,06-5281784
8,Nelia,Cobain,40-9057085
6,Ortensia,Habbergham,34-6081464
10,Melisenda,Rusling,46-7778382
9,Boony,Lightwing,67-5971597
7,Jaine,Querree,10-9621145
0,Aridatha,Oliffe,34-2689573
16,Anna-diana,Clappison,95-4344387
6,Aguistin,Gaule,28-1174130
0,Taylor,Minero,33-2851342
8,Noach,Grigoriscu,69-7056787
5,Kelley,Hailston,79-3265819
2,Karel,Poat,08-3483375
12,Ninette,Gogan,22-6555931
13,Jeremy,Ricold,46-9462802
10,Farly,Dignon,49-0443869
8,Gaby,Tilio,04-0016375
11,Olivero,Weben,09-4952865
15,Skye,Midden,44-9036483
13,Cathee,Pendrick,83-7477540
16,Dorree,MacIlory,87-1187614
12,Elladine,Phinnis,15-4558904
6,Heall,Macvain,60-5234776
16,Alice,Nye,01-0213205
2,Maria,Batrick,48-2822650
6,Bea,Quogan,16-0629899
0,Ambrosio,Wreford,36-8850442
7,Sheri,Vassar,45-8359481
16,Lindy,Epine,62-6011541
9,Freeman,Van den Oord,49-3221143
0,Trisha,Speddin,72-3897510
0,Wendeline,Brayn,61-3861768
5,Codi,Gladwell,83-8253564
12,Salim,Godlee,51-8102705
7,Linea,Wrigley,10-1262992
4,Kareem,Henrys,66-4821958
13,Paul,Rickertsen,85-5234163
16,Candis,Brunsden,41-0949579
0,Zulema,Giacobilio,44-6977575
3,Khalil,Trevor,95-5656974
0,Ronna,Standell,53-8760929
16,Winifield,Banks,18-2449328
7,Carly,Audibert,36-3123314
1,Tracie,Couthard,24-1690882
7,Celisse,Dukesbury,35-1983673
0,Ingaberg,Cottel,83-3157062
9,Ondrea,Lipyeat,98-5282257
13,Winne,Huggons,96-1169597
15,Charita,Filippov,01-5900087
1,Mariette,Alejandre,80-6242864
5,Donna,Baptie,19-7633753
16,Romain,Scutchin,72-9487912
7,Trixy,Linklet,47-4582265
2,Hadley,Dymock,65-4958653
3,Shane,Armand,64-5500655
7,Hube,Jannings,46-8584291
12,Ilse,Kinmond,02-3720056
14,Guilbert,Guitel,92-5262597
0,Raychel,Charrett,20-2763961
4,Hedda,Urien,36-1704796
0,Fionnula,Lissandrini,97-1639523
6,Dario,Barabisch,38-7906962
8,Carter,Hebard,33-5392428
6,Leyla,Spiring,53-9140032
13,Sergio,MacMarcuis,50-9532361
4,Batholomew,Di Pietro,25-0059248
0,Shep,Silwood,96-1624095
2,Missie,Heckner,05-8960628
7,Jesse,Alpe,34-9556165
8,Rodd,Lilie,76-9119151
2,Darsie,Ollerearnshaw,64-5691576
0,Monika,Verney,89-8837453
7,Hernando,Ollenbuttel,22-5636813
15,Nickolaus,Looby,94-7150989
12,Domenico,Raymont,29-0692152
9,Esdras,Osgodby,62-5297124
0,Ferrel,Asple,90-5732683
13,Arny,Richter,95-8106566
6,Aleen,Slocket,16-9851006
0,Jamaal,Robarts,40-3516041
0,Paddie,Lauridsen,17-6621575
16,Elnar,Edgar,60-0286627
0,Madison,Olczyk,58-1341532
0,Orsa,Major,29-4468592
15,Billye,Halsworth,78-7497425
12,Naoma,Matsell,40-2547221
10,Tanney,Gemeau,90-6204615
3,Stormy,Vogt,22-1756367
1,Myrna,Skellen,10-8082165
3,Grier,MacKimmie,83-6563934
2,Gabbey,Childs,12-5955802
14,Joachim,Acarson,60-7488177
16,Hayward,Seamans,17-3784466
3,Mac,Bebb,16-4032384
10,Florri,Harfleet,69-4468769
15,Minta,Minor,69-5202011
15,Garrick,Swanson,23-2256281
16,Mella,Shemmans,59-1782061
0,Leeann,Conroy,83-9125447
13,Helena,Liggens,93-7070158
9,Mala,Cordes,56-2370469
12,Shaylyn,Ormerod,49-9469841
0,Ola,Czapla,03-8795695
1,Coop,Little,74-7339816
16,Zared,Bowmer,24-7152014
13,Gradeigh,Leversuch,43-1152862
3,Wiley,Stive,02-7630109
11,Melicent,Stachini,27-5375484
9,Alla,Daniely,78-4017200
14,Edyth,Megarrell,45-0676919
0,Candy,Twell,31-0507283
16,Marty,Simo,40-0744300
4,Talyah,Jakuszewski,01-8748589
2,Odella,Camelli,52-4412638
11,Shannan,Sweetland,79-2638952
11,Joel,Scrowton,53-0359747
7,Marie-ann,Boobier,82-5133104
8,Quill,Dewitt,00-0396983
12,Selinda,Espadero,07-0376827
15,Richmound,Brisard,29-2650177
0,Eduino,Reddel,72-5398462
10,Barnebas,Dyers,47-0697825
0,Bentlee,Cradey,41-4363565
8,Ozzy,Dows,67-0645869
16,Lavena,Fellgate,93-9487911
4,Gloriane,Kolakovic,74-6604839
0,Gayle,Mulloch,48-2145446
12,Vincent,Impleton,67-6155085
6,Seymour,Karolewski,05-1256235
14,Lenna,Frensche,87-8759759
14,Alard,Slides,36-2890814
8,Janaya,Coomer,57-7678810
10,Chryste,Nisbet,47-1723088
7,Saraann,Burkman,15-2813287
4,Syd,Tamblyn,85-5945231
1,Brnaby,Chess,29-6893768
9,Ferdinand,Bountiff,65-4473110
2,Sheila,Springtorp,87-0667546
4,Roi,Iohananof,90-0667874
12,Morlee,Papierz,29-2446581
8,Aggie,Pitone,43-3661143
1,Lancelot,Blowin,56-8011329
16,Tanya,Dwane,70-1591366
9,Margalo,Corben,19-3373725
7,Padriac,Henze,40-4908739
5,Emilee,Chillistone,90-3702725
6,Jeffie,Spedroni,43-0333866
4,Ailyn,Iveans,74-2177510
16,Thorin,Retallack,41-7734567
15,Jade,Marwick,50-6891348
11,Marcellina,O'Fallon,73-2849778
7,Tarrah,Garthside,25-9924904
11,Lloyd,Ianinotti,69-2774466
4,Kassia,Thewless,86-0114977
0,Sunny,Eard,05-6702971
8,Gerta,Frigout,51-9312719
8,Kristo,Dosdell,95-0893035
8,Luca,Theuff,25-1447331
0,Lilla,Carabet,47-4968847
8,Florencia,Greener,98-4252605
0,Ferdinanda,Giacobbo,54-2351648
9,Kellina,Verrill,08-0170923
0,Rebecka,Milington,02-0459639
16,Calli,McPhilemy,22-9867134
0,Wendell,Goldson,37-3686530
12,Camey,Ottewell,82-7648771
16,Sauveur,Bulluck,02-8985409
16,Melonie,Ligerton,85-0456458
14,Nicki,Brockie,68-2595104
12,Tommi,Turban,59-8251639
2,Shurlocke,Paget,04-5515302
1,Ilyssa,Klemt,94-0542681
8,Gilbertine,Walaron,26-6752956
6,Cacilia,Khosa,54-6927250
5,Merill,Agg,63-7375643
9,Ada,True,26-8917839
14,Brenn,Pepperill,30-4230037
8,Kirstyn,Flemyng,90-3413219
16,Morie,Kelcey,25-1072722
11,Kitti,Yanele,00-3713641
9,Arlette,Chesters,28-8365540
12,Muire,Oakenfield,73-6585146
3,Meredith,Gerald,29-8406641
10,Bernadina,Shapiro,10-7258226
8,Valeria,Iacobo,94-4047679
6,Isabella,Schwaiger,76-0016887
13,Efren,Cust,64-2863495
16,Raina,Clifforth,19-6124337
9,Alejandrina,Beavis,37-1077943
3,Sasha,Mille,19-8333672
5,Evie,Langston,06-5071465
0,Norene,Matson,88-0403576
7,Locke,Daveren,39-9302279
12,Berta,Colerick,69-5474833
16,Blythe,Rosenstock,27-6519954
11,Maxy,Thexton,76-0263636
12,Lonni,Inglesfield,71-1168831
13,Everard,Matijasevic,19-8398307
0,Vivien,Dunphie,96-9691307
7,Pamela,Hobden,42-8127919
15,Herbie,Coultar,77-7036229
16,Dolli,Palffrey,94-4135198
0,Neils,Manntschke,89-4938673
0,Samson,Poleye,05-0949813
8,Lock,Gonneau,95-9671039
16,Dulcy,Cull,41-2847369
8,Cthrine,Dyer,39-8878515
10,Torrie,Shilton,08-4606568
6,Ashlan,Filoniere,42-3248788
3,Vicki,Hastings,65-5667644
14,Harley,Leonida,45-0164108
8,Jennilee,Rowe,35-9762865
10,Adolf,Cassin,78-6274721
7,Morganica,Allett,36-4039928
15,Sanders,MacAfee,09-7632220
14,Cacilie,Touret,13-2595002
16,Moises,Wallentin,13-8174070
16,Bond,Gossage,31-0855586
10,Didi,Gabriely,40-4727484
1,Charmaine,Beyer,33-8407640
4,Innis,Argrave,22-4587227
0,Myrtle,Dadge,84-2350857
6,Anabella,Oxborough,16-9233590
11,Ikey,Caslake,62-7236781
10,Raye,Von Welden,99-5355723
16,Ingeborg,Hylton,25-4061427
0,Danell,Deverall,05-3638008
0,Bernarr,Michele,81-5802892
0,Jenilee,Molesworth,83-6834263
7,Winnie,Burfoot,54-7945179
15,Grete,Gregoratti,74-5275157
0,Moreen,Mattecot,78-8994045
6,Stanwood,Harbard,03-2112042
12,Pacorro,Ranstead,73-1244478
0,Kurtis,Stebbing,33-6063987
5,Steffen,Blockley,68-5227880
3,Rasla,Eatock,13-4611100
14,Moyra,Solloway,92-3151526
11,Enrique,Ducarne,14-6193588
7,Torr,Netting,55-7409166
10,Franni,Josh,75-8146046
15,Vernice,Devanney,84-8327143
11,Colin,Hutton,73-0640509
11,Lilah,Croke,88-7395770
1,Reynard,Jeanet,18-9586827
9,Armand,Sargerson,29-8169883
16,Norean,Semarke,60-1788514
0,Adelaide,Beldan,75-8087300
9,Philipa,Walkowski,09-8326835
1,Gustave,Tune,32-4048519
7,Pall,Petlyura,41-2978652
6,Herbie,Lindroos,42-6132484
15,Averil,Lamberti,88-4465545
14,Hubie,Van der Hoven,99-2731488
3,Olimpia,Robbel,04-8803521
16,Lianna,Earney,63-1584402
0,Jeremias,Watling,39-6072254
16,Ferrel,Karby,99-1958718
16,Fairleigh,Nitto,11-2668490
10,Gaston,Denge,59-3021332
16,Eydie,O'Fielly,49-2000679
2,Stinky,Dombrell,34-7999823
8,Hana,Owlner,88-1056050
6,Carmine,Swanwick,83-1853805
0,Odey,Pock,69-5619570
0,Ash,Stonner,98-5589047
4,Corbie,Spolton,30-5574776
1,Eddie,MacCallister,78-8865041
13,Ciel,Keetch,80-5096547
7,Romola,Dunne,10-6261410
0,Cherin,Semechik,94-1708786
0,Jo-ann,Week,24-1784780
8,Jillana,Fehely,06-3215891
2,Agnes,Silmon,92-0496034
10,Ediva,Fynn,41-7642958
10,Napoleon,Muckloe,76-5650219
5,Danna,Saye,62-5699770
3,Bob,Roddick,87-7052592
16,Berkly,Le Maitre,66-1154106
0,Wendell,Tatershall,23-1682784
16,Delmor,Botten,40-3646960
10,Kelby,Wadworth,79-4093527
8,Chantal,Jeary,76-6496527
0,Mendel,Starcks,93-5536856
0,Madeline,Balch,56-0032446
5,Norean,Seagar,69-0149541
16,Libbie,Padden,86-7482790
2,Kessiah,Markel,16-0461016
0,Berte,Guyer,46-8933061
3,Korella,Muris,11-3329704
0,Rickey,Rudgley,34-3922847
16,Kizzie,Woodcraft,27-3203142
9,Ginnifer,Riddiford,66-8851638
9,Rancell,Touzey,86-1635471
5,Minda,Tyreman,06-2322741
3,Ivory,Leal,34-0936306
3,Flossie,Giovanazzi,65-6640360
8,Dalli,Neaves,34-4456197
7,Maynord,Burras,27-4230141
14,Trixy,Galia,13-4374316
9,Malorie,Schanke,61-3867085
9,Freddy,Genese,98-6153785
6,Fernandina,Maylin,15-6246963
4,Rossy,Delves,31-8230318
1,Antonella,Monk,92-3147032
3,Stavro,McLaughlin,86-4693089
13,Elnore,Boone,35-3669536
5,Dallon,Lias,47-1382284
2,Isabelle,Gowar,54-7971748
12,Jeanette,Blunn,98-8936884
16,Inglebert,Yitshak,01-7666118
16,Hillier,Bemwell,15-8815102
0,Mandel,Hayselden,93-5902280
8,Ursala,McGilvray,58-6009240
8,Ethelin,Mews,07-3125492
12,Oswald,Bradfield,62-0187985
5,Klaus,Mauchlen,70-3374343
6,Halimeda,Howsego,38-0864106
13,Sibylle,Peele,49-7065909
2,Marlo,Atteridge,36-8475719
0,Sax,Keyhoe,90-4898891
6,Whitman,D'Aulby,00-6548845
10,Georgia,Druce,71-2395071
12,Meghann,Skoyles,12-6604470
9,Gaven,Lukock,28-7690284
4,Roth,Cabral,06-4722502
5,Prudi,Gammade,78-1313027
8,Hilton,Elia,13-8161197
0,Flossy,Zemler,59-2609967
4,Peterus,Zorzi,14-7242830
15,Vic,Ciobutaro,57-0902206
14,Adolph,Stoner,39-1630133
0,Perry,Thecham,58-3787096
16,Monika,Kaminski,16-1946074
9,Antonella,Cullinane,28-8697604
10,Prudence,Cudihy,67-2408886
13,Kerby,Youtead,69-5097397
2,Saundra,Bertrand,91-1487288
7,Raymund,Dericot,10-3596598
2,Blake,Zack,86-1498310
4,Amelia,Conradie,87-5819065
16,Lydie,Lehmann,87-7242589
16,Wynne,Galliard,55-1824468
8,Caryn,Dog,16-0463174
13,Blinny,Giovanardi,80-3086253
16,Leroy,Guerri,04-0700365
3,Maryann,Zukerman,75-1239040
9,Aurelea,Minshull,49-5516059
4,Georg,Dennistoun,06-0368888
12,Nathanael,Duff,05-9012661
0,Whitby,Wrigglesworth,59-8567484
16,Milty,Ager,56-4639309
8,Perle,Gidley,87-1715252
16,Frederick,Huggan,79-5144592
1,Christian,Bumfrey,24-7524730
0,Dalila,Ferreli,92-9835144
7,Cointon,Grief,58-1375285
0,Jeth,Gavriel,49-7033979
4,Hilarius,MacGowan,74-2962074
4,Bennie,Langelay,25-0621257
14,Jordan,Mains,73-8912876
0,Raye,VanBrugh,72-7141440
16,Krystalle,Farish,25-9622149
12,Marlyn,Espinos,09-8901585
4,Tonnie,Toghill,51-0064435
11,Kennett,Baumer,14-0880605
0,Sondra,Stuchbery,60-1216384
4,Arlee,Greenhouse,82-3156774
12,Kalindi,Giraudot,99-2341634
0,Sephira,Sheards,90-2345132
0,Victoria,O'Kuddyhy,61-0078161
7,Adam,Renahan,61-8984708
7,Adelina,Mattaus,60-5021497
16,Irving,Hadwen,90-8676704
16,Coraline,Collis,52-4427935
16,Alvira,Lavery,34-5783003
12,Mabel,Dewberry,21-2104807
5,Etienne,Diss,61-2974551
4,Aubine,Stivers,85-3511074
11,Liam,Trelease,77-1634644
1,Simone,Brighty,11-1096594
5,Carmelita,Ridder,69-7898473
6,Rebekah,Abbatt,64-7934263
3,Ivette,Tofanelli,59-3827557
11,Henrietta,Hrishanok,65-2931563
0,Seward,Zuenelli,67-2594288
0,Tilly,Diver,27-1168208
12,Agnola,Kewzick,47-8710981
3,Rey,Gascoyen,16-1381055
8,Marcello,Faughnan,73-2002647
8,Smith,Warbys,01-5917461
0,Marianna,Gibbens,63-4740121
7,Katinka,Hannant,27-4331007
3,Penn,Wraxall,97-5460388
5,Augustina,Cronin,63-0595943
2,Blinny,Condon,62-9100206
9,Allen,Guiett,28-7565100
12,Lynn,Birchill,96-5797245
0,Lamond,Pruvost,29-4030250
3,Devon,Pilkington,89-2275330
11,Willamina,Vanetti,41-1280376
13,Nan,Mingus,91-8374812
3,Bari,Domenichini,35-2057927
10,Misha,Menco,56-0759898
11,Gerianne,Dyball,16-5785051
6,Hersh,Gostridge,13-1019330
4,Raynard,Clarae,36-3393630
6,Theresita,Greenough,75-0054086
14,Cecile,Hoston,92-1183514
1,Emogene,Todaro,10-1196545
0,Neal,Willicott,62-8308002
12,Anabal,Heyball,50-4611022
8,Annalise,Dorsett,45-2418887
6,Francis,Pattle,60-5614496
8,Nolly,Pietrasik,09-8002241
13,Tracie,Findlow,81-8728995
0,Nicol,Binney,64-9727087
7,Shaine,Hutsby,84-5881890
4,Marleah,Knoller,74-2017621
16,Anabelle,Pagen,95-7102173
0,Amory,Giametti,84-7074417
13,Jordan,Neate,71-1773043
6,Cookie,Udey,61-8155559
14,Portie,Bourges,73-8889380
12,Kendre,O'Deegan,75-0995716
7,Farra,Rideout,38-4161933
14,Zaccaria,Clemoes,29-4230154
0,Kippie,Carnall,12-2468091
5,Dorella,Littell,67-9873731
15,Gertrude,Perring,56-6276447
8,Harmony,Benettini,46-2442739
6,Sara-ann,Bernadot,84-1185550
4,Prisca,Lumsdaine,13-8621759
6,Kessia,Bryns,21-8386147
14,Bill,Balsom,55-5366154
0,Sissy,Lefeaver,86-7892674
0,Janka,Morrad,42-8393422
10,Maude,Leversha,69-6673867
16,Drake,Larimer,49-5618623
15,Tillie,Gotcher,27-4044164
15,Paulita,Mant,52-2859471
12,Gian,Stoyles,06-3738763
1,Mateo,Jacklin,07-3197481
16,Donella,Pittham,02-0816270
0,Anne,Kimmel,48-7375533
12,Doti,Delnevo,11-6184047
10,Whittaker,Seabon,25-5396316
11,Lara,Normadell,12-7905168
15,Saunders,Simenon,40-9162373
12,Kurtis,Wemes,98-4517435
4,Renie,Eubank,14-2348608
0,Ethelind,Rooze,81-3756942
5,Bryn,Urvoy,63-5488075
11,Jan,Pietruszka,41-6283763
8,Karine,Armatys,71-0183556
16,Dorian,Stockney,61-3274482
7,Netta,Brandin,47-1288013
1,Bernadina,Presdie,24-4570308
7,Row,Bentall,47-6245825
11,Adrian,Macak,88-9603223
0,Bernita,Grishunin,37-6273760
7,Corissa,Weinmann,24-6132770
7,Quint,Lantry,80-7456473
10,Karel,Sparrowhawk,87-2582452
0,Perren,Audus,95-8143388
11,Jillane,Currey,40-3129248
4,Jane,Fernihough,00-2582599
6,Zedekiah,Burr,83-9311278
0,Carree,Illingworth,07-1561723
15,Reinhold,Dakhno,50-6514746
6,Germayne,Hatherill,40-5256148
8,Dorrie,Threadgold,34-4231153
13,Nevile,Kanzler,83-5468645
12,Lanie,McCusker,64-1197727
15,Annadiana,Twohig,02-2985859
0,Linnet,Ecclestone,18-6290945
9,Janeen,Zanelli,48-6816194
3,Danella,Ellard,51-7822852
16,Diena,Goble,16-4387907
1,Sherline,Cowling,80-7934584
13,Elwin,Lardez,92-0614256
4,Elmira,Clapshaw,05-5109328
7,Redd,Helix,70-6338495
12,Clive,Mowsdill,85-5367529
2,Karol,Girardeau,25-5007971
1,Paula,Round,53-4417260
0,Ashli,Darlow,96-7004328
11,Mannie,Collisson,87-8302153
12,Kaye,Clemerson,27-4452686
10,Stirling,Sarfati,27-8534929
16,Rock,Cullerne,36-1924815
8,Mahmoud,Gruby,74-2450868
11,Jerrylee,Jimes,27-1060007
16,Georas,Urwen,36-2235763
5,Vanya,O'Loughnan,24-3888905
0,Doralynne,Brusin,65-2132520
7,Alvis,Haggard,43-9167729
10,Alexander,Lamont,49-2349274
12,Ilsa,de Voiels,41-0385473
16,Frayda,Carpenter,03-8815501
0,Monroe,Lambe,89-7003928
10,Wheeler,Parmley,60-8128719
0,Padraic,MacHoste,21-9555971
4,Nina,Synan,45-4658896
15,Yoshiko,Troyes,02-1509549
9,Terencio,Kindleysides,72-8054066
6,Ali,Wabersich,93-0077855
16,Delmar,Gandley,41-0718844
13,Lionel,Roots,36-0802863
0,Guglielmo,Kirrens,30-5641141
3,Jessalin,Reed,95-9456013
15,Keir,Cave,34-8870919
12,Foss,Scotchmor,82-3525843
12,Vincents,McOwan,59-8662393
7,Tilly,Snowding,40-5969753
8,Florida,Hobbing,37-6522494
13,Faustina,Molyneux,44-9847365
13,Meaghan,Muckeen,83-7512490
5,Clement,Newham,79-1183353
0,Kirbee,Molloy,98-9745633
2,Townie,Ringsell,67-7656201
9,Aloin,Foale,86-2047468
